CodigoEmpresa;Anio;Mes;EmpleadosTotal;AltasDelMes;TotalBrutoTodos;TotalBrutoAltas
47742;2023;8;7;0;63890.5;0
40687;2023;8;1;0;7707.65;0
25861;2023;8;3;0;6205.01;0
47677;2023;8;5;0;6698.78;0
47533;2023;8;1;0;4333.33;0
29066;2023;8;1;0;5400;0
44863;2023;8;2;0;1286.25;0
45591;2023;8;1;0;3800;0
35308;2023;8;1;0;10707.72;0
37254;2023;8;57;0;335870.23;0
47686;2023;8;12;0;30687.8;0
33240;2023;8;6;0;39915.14;0
36051;2023;8;1;0;10852.78;0
39144;2023;8;2;0;3170.83;0
37475;2023;8;1;0;2794.61;0
47176;2023;8;5;0;16212.36;0
44271;2023;8;8;0;42644.6;0
47675;2023;8;5;0;9142.09;0
47535;2023;8;6;0;9640.63;0
43367;2023;8;1;0;34993.07;0
47074;2023;8;1;0;5834.45;0
41941;2023;8;15;0;112022.64;0
27415;2023;8;1;0;2269.02;0
115;2023;8;4;0;38087.97;0
46661;2023;8;2;0;13939.48;0
47162;2023;8;2;0;27600;0
47701;2023;8;1;0;4000;0
24429;2023;8;3;0;14163.37;0
38114;2023;8;7;0;14497.64;0
23868;2023;8;2;0;3766.67;0
46616;2023;8;7;0;16986.64;0
28644;2023;8;4;0;14543.46;0
27679;2023;8;1;0;2333.32;0
48100;2023;8;1;0;6666.67;0
41200;2023;8;4;0;13326.68;0
47676;2023;8;4;0;8973.77;0
48687;2023;8;3;0;5122.46;0
38406;2023;8;2;0;5035.72;0
55560;2023;8;2;0;3660.92;0
38787;2023;8;9;0;25344.6;0
39902;2023;8;13;0;93369.45;0
48686;2023;8;2;0;4758.04;0
37157;2023;8;3;0;12247.08;0
42830;2023;8;1;0;5853.42;0
49285;2023;8;1;1;116529.7;116529.7
47773;2023;8;1;0;4568.43;0
42438;2023;8;2;0;1094.62;0
44167;2023;8;3;0;11870.83;0
42851;2023;8;2;0;11092.75;0
43404;2023;8;1;0;13755.92;0
37592;2023;8;2;0;35291.66;0
24230;2023;8;6;0;23653.12;0
48910;2023;8;10;0;15250;0
47514;2023;8;9;0;18233.23;0
42222;2023;8;1;0;7398.74;0
37666;2023;8;2;0;25000.01;0
48208;2023;8;1;0;9583.33;0
47825;2023;8;1;0;8383.33;0
21515;2023;8;1;0;3275;0
30999;2023;8;2;0;6593.04;0
42460;2023;8;3;0;10643.23;0
33812;2023;8;1;0;5544.48;0
43660;2023;8;8;0;79687.17;0
49300;2023;8;10;1;25970.09;1350.72
37462;2023;8;2;0;2741.06;0
47566;2023;8;14;0;29338.26;0
42022;2023;8;49;0;291005.93;0
42880;2023;8;3;0;20416.67;0
48894;2023;8;3;0;9227.39;0
30886;2023;8;3;0;10835.81;0
49005;2023;8;7;0;12982.07;0
48302;2023;8;1;0;7660;0
43319;2023;8;1;0;2200;0
46773;2023;8;4;0;7227.08;0
34268;2023;8;2;0;6200;0
47673;2023;8;6;1;11386.1;1821.33
40254;2023;8;1;0;2964;0
35130;2023;8;1;0;3916.66;0
48483;2023;8;8;0;18407.94;0
47315;2023;8;3;0;17899.91;0
46788;2023;8;4;0;426.12;0
43405;2023;8;2;0;8916.67;0
48210;2023;8;10;1;18884.51;180.1
47297;2023;8;2;0;4100;0
37764;2023;8;1;0;10650;0
47677;2023;8;1;0;1236.96;0
48910;2023;8;1;0;1076.67;0
47530;2023;8;1;0;350.92;0
48950;2023;8;1;0;468.86;0
47677;2023;8;1;0;809.48;0
47176;2023;8;1;0;540;0
47676;2023;8;1;0;945.25;0
48910;2023;8;1;0;0;0
38787;2023;8;1;0;1462.11;0
47530;2023;8;1;0;325.86;0
47937;2023;8;1;0;633.44;0
46521;2023;8;1;0;1440.48;0
42022;2023;8;1;0;3146.9;0
48910;2023;8;1;0;0;0
47515;2023;8;1;0;413.55;0
38787;2023;8;1;1;266.67;0
46615;2023;8;1;1;295.07;0
41941;2023;8;1;0;705.75;0
48605;2023;8;1;0;143.41;0
47515;2023;8;1;0;29.54;0
49300;2023;8;1;10;45.76;45.76
37764;2023;7;1;0;10650;0
48100;2023;7;1;0;6666.67;0
37462;2023;7;2;0;2741.06;0
24429;2023;7;3;0;14388.75;0
47074;2023;7;1;0;5834.45;0
33240;2023;7;6;0;39194.71;0
41339;2023;7;2;0;320.68;0
47877;2023;7;5;0;24335;0
41701;2023;7;2;0;4999.99;0
47262;2023;7;1;0;10083.33;0
47773;2023;7;1;0;4568.43;0
29066;2023;7;1;0;5400;0
46031;2023;7;5;0;30660.01;0
43404;2023;7;1;0;7332.72;0
55560;2023;7;2;0;3660.92;0
47675;2023;7;5;0;9117.19;0
37807;2023;7;1;0;5034.33;0
48950;2023;7;10;1;17946.37;886.16
47671;2023;7;7;0;8978.15;0
47566;2023;7;14;0;29276.6;0
41962;2023;7;1;0;1416.67;0
48233;2023;7;1;0;4850;0
47588;2023;7;13;0;28858.19;0
46773;2023;7;4;0;7227.08;0
47701;2023;7;1;0;4000;0
43319;2023;7;1;0;2200;0
27415;2023;7;2;0;2269.02;0
42438;2023;7;2;0;1094.62;0
47442;2023;7;1;0;1967.72;0
30886;2023;7;3;0;10835.81;0
42222;2023;7;1;0;13079.45;0
36472;2023;7;1;0;5336.05;0
44168;2023;7;8;0;26669.05;0
47498;2023;7;11;0;22253.98;0
